"Arrabbiata sauce";"http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Penne_all'arrabbiata.jpg/200px-Penne_all'arrabbiata.jpg";"Sugo all'arrabbiata arrabbiato means angry in Italian—the name of the sauce is due to the heat of the chili peppers is a sauce for pasta made from garlic, tomatoes, and red chili peppers cooked in olive oil. The dish is usually served with penne, and may have chopped fresh parsley sprinkled on top.";"Garlic,Garlic raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Olive oil,Peppers, hot chili, red, raw"
"Salmorejo";"http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Salmorejo_4.jpg/200px-Salmorejo_4.jpg";"Salmorejo is a soup consisting of tomato and bread, originating from Cordoba in Andalusia, south Spain. It is made from tomatoes, bread, oil, garlic and vinegar. Normally, the tomatoes are skinned and then puréed with the other ingredients. The soup is served cold and garnished with diced Spanish Serrano ham and diced hardboiled eggs. It has a pinkorange appearance like gazpacho, but salmorejo is much thicker, because it includes more bread. In Andalusia it is known by several other names, including ardoria and porra. Several variations exist in Andalucia the following recipe is representative of the type of salmorejo served in any bar or home. Salmorejo is also the name given to a marinade typical of Canary Islands cuisine. It is used to flavour meat before cooking, especially rabbit conejo en salmorejo which is a speciality of the islands. Typical marinade ingredients include salt, garlic, paprika and hot peppers.";"Bread,Bread, white,Bread, wholewheat,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw"
"Spaghetti alla Puttanesca";"http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spaghettiniphoto.jpg/200px-Spaghettiniphoto.jpg";"Spaghetti alla puttanesca literally whore's style spaghetti in Italian is a tangy, somewhat salty Italian pasta dish invented in the mid20th century. The ingredients are typical of Southern Italian cuisine tomatoes, olive oil, olives, capers, and garlic.";"Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Anchovies,Spaghetti,Olea europaea,Olive Tree,Caper,Capparis spinosa,Capers, prepared"
"Tabbouleh";"http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flickr_-_cyclonebill_-_Tabbouleh.jpg/200px-Flickr_-_cyclonebill_-_Tabbouleh.jpg";"Tabbouleh is a Levantine Arab salad traditionally made of bulgur, tomatoes, cucumbers, finely chopped parsley, mint, onion and garlic, and seasoned with olive oil, lemon juice and salt, although there are various other variations such as using couscous instead of bulgur. Traditionally served as part of a mezze in the Arab world, it was adopted by Cypriots, variations of it are made by Turks and Armenians, and it has become a popular ethnic food in Western cultures.";"Parsley,Parsley, fresh,Tomato,Solanum lycopersicum,Red tomatoes, raw"
"Seven layer dip";"http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Seven_layer_dip.jpg/200px-Seven_layer_dip.jpg";"Seven layer dip is the name of an American appetizer based on common ingredients in TexMex cuisine. The dish typically includes Refried beans Guacamole Sour cream Picante salsa, pico de gallo or chopped tomatoes Grated Cheddar cheese, Monterey Jack cheese or a blend of both Black olives Layer may be one of many items, such as cooked ground beef, shredded lettuce for texture, sliced green onion or jalapeño chiles for additional spiciness. The dish is often chilled before serving, and is served with tortilla chips.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Guacamole,Olea europaea,Olive Tree,Salsa"
"Panbagnat";"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pan-bagnat_1.jpg/200px-Pan-bagnat_1.jpg";"The Panbagnat Occitan pan banhat for bathedwet bread is a sandwich that is a specialty of the region of Nice, France. The sandwich is composed of pain de campagne, whole wheat bread formed in a circle, although white bread is also sometimes used, around the classic Salade Nioise, a salad composed mainly of raw vegetables, hard boiled eggs, anchovies andor tuna, and olive oil never mayonnaise. Sometimes balsamic vinegar, ground pepper, and salt will also be added. The name of the sandwich comes from the local Provenal language, Niard, in which panbanhat and the alternative spelling panbagnat mean bathedwet bread. It is often misspelled pain bagnat, with the French pain rather that genuine local pan. The panbagnat is a popular lunchtime dish in the region around Nice where it is sold in most bakeries and markets. Panbagnat and the salade nioise salade nissardo, along with ratatouille La Ratatouia Nissardo in Provenal, socca and pissaladière are strongly linked to the city of Nice, where they have been developed over time out of local ingredients.";"Pain de campagne,White bread,Tomato,Solanum lycopersicum,Red tomatoes, raw,Anchovies,Chicken egg,whole, hardboiled,Olive oil,Olea europaea,Olive Tree,Onion,Raw Onions,Salad Nioise"
"Chana Masala";"http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Choleindia.jpg/200px-Choleindia.jpg";"Chana masala, also known as chole masala or channay plural is a popular Punjabi dish in Pakistani and Indian cuisine. The main ingredient is chickpeas called chana in Hindustani. It is fairly dry and spicy with a sour citrus note.";"Coriander,Coriander  leaves, raw,Ginger root,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Chickpea,Chickpeas, mature seeds, cooked no salt,Onion,Raw Onions,Peppers, hot chili, red, raw"
"Marinara sauce";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Ravioli_Marinara.jpg/200px-Ravioli_Marinara.jpg";"Marinara mariner's sauce is a southern Italian tomato sauce usually made with tomatoes, garlic, herbs, and onions. Its many variations can include the addition of capers, olives and spices. Traditional southern Italian cuisine uses this sauce to add flavor to pasta, rice, seafood and pizza. This sauce is also widely used in ItalianAmerican cuisine, which has diverged significantly from its Old World origins. Italians refer to marinara sauce only in association with other recipes. For instance, spaghetti alla marinara literally translates to spaghetti mariner's style from the adjective marinara with the feminine suffix a pertaining to salsa, Italian for sauce, but tomato sauce alone in Italy is called sugosalsa aldi pomodoro or pomarola. Outside of the US, this is referred to as Neapolitan sauce or Napoli sauce, and Marinara sauce refers to a sauce containing seafood.";"Basil,Basil, fresh,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Onion,Raw Onions"
"Rasam";"http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Rasam_(closeup).jpg/200px-Rasam_(closeup).jpg";"Rasam or Saaru, Kannadaಸಾರು Saaru, is a South Indian soup, traditionally prepared using tamarind juice as a base, with the addition of tomato, and chili pepper, pepper, cumin and other spices as seasonings. Steamed lentils are added along with any preferred vegetables. Nowadays all the seasonings required are combined and ground beforehand into a rasam powder, which is available commercially. It is eaten with rice or separately as soup. In a traditional meal, it is preceded by a sambar rice course and is followed by curd rice. Rasam has a distinct taste in comparison to the sambar due to its own seasoning ingredients and is usually fluid in consistency.";"Lentil,Lentils, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Tamarind,Tamarind, raw"
"Minestrone";"http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/MinestroneSoup.jpg/200px-MinestroneSoup.jpg";"Minestrone is a thick soup of Italian origin made with vegetables, often with the addition of pasta or rice. Common ingredients include beans, onions, celery, carrots, stock, and tomatoes. There is no set recipe for minestrone, since it is usually made out of whatever vegetables are in season. It can be vegetarian, contain meat, or contain a meatbased broth. Angelo Pellegrini, however, argued that the base of minestrone is bean broth, and that Roman beans also called Borlotti beans are the beans to use for genuine minestrone. Minestrone is one of the cornerstones of Italian cuisine, and is almost as common as pasta on Italian tables.";"Celery,Celery, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Carrot,Carrots, raw,Onion,Raw Onions,Pasta"
